date,pm2.5,pm10,OC,EC,NO3,SO42,NH4,meantemp,mintemp,maxtemp,meanhumi,dow,year,influenza,season,holiday,ma5meantemp,cityname,noacc,noacc_A,noacc_B,noacc_M,noacc_F,circ,circ_A,circ_B,circ_M,circ_F,resp,resp_A,resp_B,resp_M,resp_F
2010-04-17,30.125,54.5605889,,,15.3876629,11.18053866,,7.6,4,12,63.4,7,2010,1,1,0,6.2,Seoul,1081,946,135,576,505,147,76,71,87,60,770,746,24,400,370
2010-04-18,33.79166667,65.26214689,,,,,,12,6.2,17,54.3,1,2010,1,1,0,7.72,Seoul,988,851,137,516,472,117,64,53,62,55,675,653,22,348,327
2010-04-19,32.125,63.37096774,,,,,,14.7,12.7,17.4,55.6,2,2010,1,1,0,9.86,Seoul,720,574,146,390,330,147,89,58,91,56,436,402,34,226,210
2010-04-20,31.5,61.09873708,,,,,,16.8,13.3,20.7,68,3,2010,1,1,0,11.82,Seoul,669,515,154,368,301,146,68,78,84,62,395,359,36,214,181
2010-04-21,18.91666667,36.45756881,5.311228066,1.157107401,9.452813423,7.42910476,,14.1,10.7,18.5,69.9,4,2010,1,1,0,13.04,Seoul,631,497,134,333,298,131,65,66,76,55,367,344,23,191,176
2010-04-22,8.125,16.26612903,,,,,,10.7,9.1,12.7,66.9,5,2010,1,1,0,13.66,Seoul,686,528,158,367,319,112,56,56,54,58,409,370,39,214,195
2010-04-23,15.04166667,25.024,,,,,,9.3,6.6,14.3,71.4,6,2010,0,1,0,13.12,Seoul,764,610,154,425,339,136,69,67,71,65,487,456,31,280,207
2010-04-24,32.375,55.64880274,10.10693423,1.611534891,11.1484671,5.510250692,9.610863315,11.1,5.4,16.8,50.1,7,2010,0,1,0,12.4,Seoul,954,814,140,510,444,130,68,62,84,46,662,630,32,339,323
2010-04-25,36.66666667,66.49595376,,,,,,13.6,6.9,19.4,33.5,1,2010,0,1,0,11.76,Seoul,916,778,138,491,425,132,79,53,79,53,617,579,38,321,296
2010-04-26,26.91666667,50.70486111,,,,,,12.4,10.2,17.8,63.4,2,2010,0,1,0,11.42,Seoul,704,550,154,392,312,160,85,75,101,59,385,365,20,203,182
2010-04-27,18.60869565,37.65121669,,,,,,7.5,5.1,10.9,71.5,3,2010,0,1,0,10.78,Seoul,652,510,142,362,290,157,90,67,100,57,369,338,31,188,181
2010-04-28,13.75,37.40571429,,,,,,5,3.3,7.8,77.5,4,2010,0,1,0,9.92,Seoul,614,469,145,331,283,148,73,75,79,69,328,304,24,175,153
2010-04-29,21.625,61.37542662,,,,,,8.5,3.4,12.4,62,5,2010,0,1,0,9.4,Seoul,626,484,142,336,290,142,73,69,79,63,362,333,29,189,173
2010-04-30,21.79166667,53.41129944,,,,,,9.6,7,13.2,63.3,6,2010,0,1,0,8.6,Seoul,807,653,154,428,379,142,72,70,82,60,510,484,26,262,248
2010-05-01,22.5,41.94438007,,,,,,12.3,5.8,17.5,49.5,7,2010,0,1,0,8.58,Seoul,1099,913,186,606,493,158,82,76,88,70,729,683,46,402,327
2010-05-02,27.54166667,66.54225352,,,,,,17.2,9.9,23.3,43.4,1,2010,0,1,0,10.52,Seoul,871,723,148,473,398,127,56,71,71,56,597,568,29,308,289
2010-05-03,29.875,88.85263158,,,,,,18.2,16.5,19.5,79.5,2,2010,0,1,0,13.16,Seoul,740,584,156,414,326,148,78,70,97,51,447,414,33,236,211
2010-05-04,28.83333333,85.46594982,3.899674923,0.95499608,7.059609121,12.62801303,,20.2,18.2,25.3,70.3,3,2010,0,1,0,15.5,Seoul,775,615,160,425,350,138,63,75,74,64,486,450,36,268,218
2010-05-05,30.08333333,76.95249131,,,,,,20.6,15.4,25.2,57.5,4,2010,0,1,1,17.7,Seoul,834,670,164,437,397,147,71,76,84,63,544,503,41,282,262
2010-05-06,19.86363636,34.28848485,,,,,,13.4,10.4,19.8,83.4,5,2010,0,1,0,17.92,Seoul,669,535,134,364,305,127,69,58,67,60,394,366,28,215,179
